gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HOS_D1_1_S1_L001,HOS_D1_2_S2_L001,HOS_D1_3_S3_L001,HOS_D2_1_S4_L001,HOS_D2_2_S5_L001,HOS_D2_3_S6_L001
ENSG00000169245,CXCL10,3627,C-X-C motif chemokine ligand 10,48870.71089508816,-0.5443946321831679,0.021091741353476474,-25.810795944235174,6.708231555961888e-147,6.936851875334713e-143,43840,39709,41397,51155,61445,54514
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,12224.675473732994,-0.6011765132434447,0.026671501642483872,-22.540032477431147,1.6819525753919471e-112,6.885353192796168e-109,10862,9475,10209,13213,15006,14192
ENSG00000041982,TNC,3371,tenascin C,43991.461771328875,-0.40116785782751396,0.02020944933744825,-19.850509092503927,1.0909016709341401e-87,3.349340855185544e-84,41812,37453,39901,46778,50562,46661
ENSG00000119917,IFIT3,3437,interferon induced protein with tetratricopeptide repeats 3,65003.00651543291,-0.32576014059627034,0.01679868903156975,-19.39199779126037,9.01657925368197e-84,2.214652196289365e-80,63298,57083,60942,64734,74550,68911
ENSG00000154451,GBP5,115362,guanylate binding protein 5,21743.2039287671,-0.35824577928373286,0.01998394621420592,-17.926678517032233,7.301327039371989e-72,1.4944599561754567e-68,20872,18957,20057,22151,25132,23037
ENSG00000119922,IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2,39627.807988067965,-0.36993228519024446,0.02125587390478596,-17.403767393772068,7.725092702104113e-68,1.3553123353505801e-64,37535,34745,36330,39674,46333,42668
ENSG00000163131,CTSS,1520,cathepsin S,6488.669718090144,-0.5567907396414735,0.03316703842805023,-16.78747232284029,3.014113218588995e-63,4.627040554686431e-60,5811,5241,5453,6999,7810,7418
ENSG00000271503,CCL5,6352,C-C motif chemokine ligand 5,6691.104262909725,-0.5514414243733722,0.03953319547344766,-13.948819916258627,3.198539093626591e-44,4.3645842898697964e-41,5849,5532,5665,6964,8578,7396
ENSG00000023445,BIRC3,330,baculoviral IAP repeat containing 3,3802.611217157896,-0.604707397570383,0.04479611578141536,-13.499103371396746,1.5829083861228054e-41,1.9439697889974173e-38,3205,3067,3201,4084,4729,4396
ENSG00000115267,IFIH1,64135,interferon induced with helicase C domain 1,17349.112656733505,-0.2749534283494652,0.021417780022243784,-12.837625004267847,1.0092328748602467e-37,1.126762630559881e-34,17537,15434,16397,17053,19717,17937
ENSG00000196878,LAMB3,3914,laminin subunit beta 3,3142.0074410822435,-0.6072366942593288,0.04997366273141763,-12.15113443901259,5.657507622078355e-34,5.789987592228689e-31,2725,2407,2696,3574,3743,3586
ENSG00000107201,RIGI,23586,RNA sensor RIG-I,24152.23019699569,-0.24483009237609576,0.02023418087487086,-12.09982721268218,1.0583370016401343e-33,9.998028243955761e-31,24612,22028,22852,23457,27053,24918
ENSG00000117228,GBP1,2633,guanylate binding protein 1,79539.15386085377,-0.23588607451087648,0.019531814553435556,-12.07701792711242,1.3969467751001173e-33,1.2254216675003243e-30,79190,72844,77462,76418,89265,82073
ENSG00000108821,COL1A1,1277,collagen type I alpha 1 chain,50500.44193830627,0.24380084198932772,0.02036994582930466,11.968654410390743,5.1862888549473735e-33,4.24618756184058e-30,62414,52682,57208,42393,47152,43526
ENSG00000115963,RND3,390,Rho family GTPase 3,17303.464874059744,-0.2513144677230144,0.021917652315372654,-11.466304150958125,1.948026614528808e-30,1.4952321783142682e-27,17358,15759,16533,17059,19204,17861
ENSG00000118503,TNFAIP3,7128,TNF alpha induced protein 3,2487.6490109774372,-0.6051898083606256,0.05319149931975558,-11.377566267169597,5.40881245569628e-30,3.907389751082706e-27,2301,1877,2035,2692,3117,2837
ENSG00000185745,IFIT1,3434,interferon induced protein with tetratricopeptide repeats 1,17325.471300896876,-0.27825758181447996,0.024774974808395772,-11.231397164536519,2.8592115259660694e-29,1.9507764861327389e-26,17035,15304,16879,17142,19582,17950
ENSG00000090339,ICAM1,3383,intercellular adhesion molecule 1,21785.85052173761,-0.23328285684344957,0.021100988437590777,-11.05554166495173,2.060890182887143e-28,1.3320943334756315e-25,22058,19746,21152,21040,24640,22137
ENSG00000111057,KRT18,3875,keratin 18,14783.262285269235,0.2800759324848574,0.02549170017956087,10.986945967198416,4.4161726218575055e-28,2.7117507984516013e-25,18497,15639,16881,12156,13738,12545
