gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D1_1_S12_L001,OS_17_D1_2_S13_L001,OS_17_D1_3_S14_L001,OS_17_D2_1_S15_L001,OS_17_D2_2_S16_L001,OS_17_D2_3_S17_L001,OS_17_D3_1_S18_L001,OS_17_D3_2_S19_L001,OS_17_D3_3_S20_L001,OS_17_Media_1_S21_L001,OS_17_Media_2_S22_L001
ENSG00000006451,RALA,5898,RAS like proto-oncogene A,30654.00813293596,3.3623185227051167,0.06665169961121906,50.44610328495148,0,0,31048,36254,33952,40939,38711,36489,37076,35476,31795,4935,3579
ENSG00000067066,SP100,6672,SP100 nuclear antigen,9429.569741084237,3.4561261896561524,0.07230596166389319,47.79863389026757,0,0,10414,11275,9590,12226,11853,11567,11127,11042,9967,1353,1088
ENSG00000069431,ABCC9,10060,ATP binding cassette subfamily C member 9,5503.611192647812,3.383619458505479,0.08261918702823484,40.954402726683064,0,0,5968,6455,5495,7215,7266,6300,6672,6775,5669,847,654
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),7888.517292113687,4.9408868801099555,0.11044594931871353,44.73579076994534,0,0,7684,10597,9605,10612,10124,9287,9691,8720,7730,464,287
ENSG00000082641,NFE2L1,4779,NFE2 like bZIP transcription factor 1,39510.14186463248,1.677826225339681,0.034318683213927365,48.88958631894064,0,0,40935,46908,41691,46519,45152,44041,46556,44706,39424,19411,14252
ENSG00000087074,PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,26772.969662021227,3.4954843008561682,0.07205229112704692,48.51315962587117,0,0,30176,30827,27951,31964,30406,30976,34045,33807,30900,3657,3063
ENSG00000100342,APOL1,8542,apolipoprotein L1,16467.786037174366,7.261147085577323,0.10838820088943019,66.99204365413004,0,0,18195,18666,16761,21279,21212,20562,21469,20211,17941,174,138
ENSG00000101255,TRIB3,57761,tribbles pseudokinase 3,11720.306588019332,5.813067699752361,0.10440428545692235,55.67843958044096,0,0,11066,15001,13978,14651,13827,14308,15048,14597,12677,389,224
ENSG00000106948,AKNA,80709,AT-hook transcription factor,8636.20814030882,3.7056236858952194,0.09170916588579893,40.40625220067596,0,0,11206,10875,9400,10180,9882,9857,10470,10259,8787,979,891
ENSG00000115415,STAT1,6772,signal transducer and activator of transcription 1,31016.455360109376,2.5086267617702007,0.05699030195617841,44.01848517488398,0,0,31394,37292,33334,36987,35562,33835,39674,38884,33073,8818,6474
ENSG00000115902,SLC1A4,6509,solute carrier family 1 member 4,4262.175652365319,4.223729653761254,0.10870914175690466,38.85349093461115,0,0,4035,5262,4979,5680,5286,5269,4934,5212,4491,347,304
ENSG00000115963,RND3,390,Rho family GTPase 3,79606.86363510096,6.091007555490614,0.11592429287848373,52.542977871561746,0,0,85970,94886,84138,118236,113365,102844,89738,85719,76753,1902,1477
ENSG00000116514,RNF19B,127544,ring finger protein 19B,5666.087357216343,3.6946423000642827,0.08062549102499021,45.82474169266284,0,0,6032,7276,5979,7047,7111,6997,7155,6639,5551,774,491
ENSG00000116701,NCF2,4688,neutrophil cytosolic factor 2,10871.84622721549,4.2825120435177535,0.07888377277192563,54.28888468480909,0,0,10763,13321,12134,14389,13057,12902,13874,13505,11379,866,731
ENSG00000117226,GBP3,2635,guanylate binding protein 3,3744.319958424724,5.746684803242985,0.14227692918506354,40.390840849313754,0,0,4944,4014,3753,4950,4619,4344,4591,4370,4310,120,83
ENSG00000117228,GBP1,2633,guanylate binding protein 1,125358.73184435707,7.4087203990545945,0.07899911030439413,93.78232704783389,0,0,130258,145274,133943,170455,164093,154289,151487,156667,135808,1272,884
ENSG00000120217,CD274,29126,CD274 molecule,14753.875197733467,6.951189160175828,0.1354309302148416,51.32645215645179,0,0,16929,18712,15303,21013,21141,18569,16642,15825,13946,205,143
ENSG00000121060,TRIM25,7706,tripartite motif containing 25,9233.001342821857,3.298649587812808,0.07933978726798639,41.576234338402536,0,0,11237,10594,9003,11730,11367,11250,11284,10738,9559,1504,1162
ENSG00000125347,IRF1,3659,interferon regulatory factor 1,25069.73510418082,6.737115218508309,0.08800837171696273,76.55084496023915,0,0,25377,29435,27842,31356,30777,30284,32826,31918,28268,370,310
ENSG00000125826,RBCK1,10616,RANBP2-type and C3HC4-type zinc finger containing 1,12201.192750666947,2.878713835775316,0.057165018048335965,50.357962510240355,0,0,13740,15277,12974,14772,14725,14792,14603,13929,12131,2724,1975
ENSG00000128272,ATF4,468,activating transcription factor 4,20260.377086285338,2.1094225174525016,0.05218073221420715,40.42531463133001,0,0,22813,23668,22392,24397,23583,23547,23485,22458,19996,7574,5461
ENSG00000130303,BST2,684,bone marrow stromal cell antigen 2,4472.505156377022,7.2776353022162175,0.1793059354584227,40.587810345540674,0,0,4432,5416,4802,5911,5450,5438,5709,5522,5187,32,51
ENSG00000130487,KLHDC7B,113730,kelch domain containing 7B,22149.14786314175,11.171300345487454,0.2794690163123318,39.9733054236056,0,0,23582,28145,26009,26284,25624,26259,28296,27509,25369,14,14
