gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D3_1_S18_L001,OS_17_D3_2_S19_L001,OS_17_D3_3_S20_L001,OS_17_Media_1_S21_L001,OS_17_Media_2_S22_L001
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,10956.993054095754,3.1547657368491233,0.044053401592902615,71.61230739914947,0,0,16563,16379,14370,2510,1878
ENSG00000006210,CX3CL1,6376,C-X3-C motif chemokine ligand 1,3560.720791281919,6.501040349119084,0.14127457894313392,46.01705698047696,0,0,6256,5372,4822,89,61
ENSG00000006451,RALA,5898,RAS like proto-oncogene A,23957.437025380397,3.3417497540701593,0.03132530519408218,106.6789208713429,0,0,37076,35476,31795,4935,3579
ENSG00000031698,SARS1,6301,seryl-tRNA synthetase 1,20204.933692772513,1.7978958383609878,0.0382597428258221,46.99184326841737,0,0,27522,27432,23762,11082,7699
ENSG00000041357,PSMA4,5685,proteasome 20S subunit alpha 4,10372.270494361086,1.939112865734204,0.046962204408999564,41.290925120257,0,0,14447,13724,12803,5209,3658
ENSG00000041982,TNC,3371,tenascin C,113059.14366854086,1.4384954851720675,0.021487901978310263,66.94443629834475,0,0,151925,143733,125957,74186,54291
ENSG00000044574,HSPA5,3309,heat shock protein family A (Hsp70) member 5,151082.2800762676,1.9898359890664792,0.03045134823428408,65.34475826020058,0,0,212169,204783,183440,70572,53989
ENSG00000050405,LIMA1,51474,LIM domain and actin binding 1,13421.327193158666,2.1122420097295977,0.03400111183619256,62.122733512532285,0,0,19151,18486,16352,5979,4347
ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,18805.376275903625,2.192431266041091,0.03337895811987001,65.6830347480489,0,0,27187,25679,23311,8059,5744
ENSG00000063660,GPC1,2817,glypican 1,4872.542891285627,-5.292208416037254,0.08225457178142344,-64.33938322723672,0,0,326,262,247,15382,11573
ENSG00000065911,MTHFD2,10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",16044.458813367264,2.1317400559865285,0.038432494304096766,55.46712735111998,0,0,23169,21882,19606,6884,5274
ENSG00000067066,SP100,6672,SP100 nuclear antigen,7357.7902880712445,3.4384276387388106,0.06332056294696331,54.30191202846387,0,0,11127,11042,9967,1353,1088
ENSG00000069431,ABCC9,10060,ATP binding cassette subfamily C member 9,4376.775319971868,3.3918068632633056,0.07043567872895447,48.15466996939738,0,0,6672,6775,5669,847,654
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),5750.102821313948,4.85332082416442,0.08267027659374182,58.706962455376846,0,0,9691,8720,7730,464,287
ENSG00000073008,PVR,5817,PVR cell adhesion molecule,6559.272926327468,2.1223643351970987,0.05470668642962227,38.7953369818409,0,0,9515,9082,7836,2798,2194
ENSG00000073921,PICALM,8301,phosphatidylinositol binding clathrin assembly protein,14875.807745937696,1.4553740190729538,0.035516557730189156,40.977338798683256,0,0,19528,18966,17029,9604,7126
ENSG00000080845,DLGAP4,22839,DLG associated protein 4,17562.906861022402,1.62675515487748,0.04173109609666228,38.98184584247215,0,0,24121,22419,20507,10092,7789
ENSG00000082641,NFE2L1,4779,NFE2 like bZIP transcription factor 1,33991.150355410275,1.6814950930944152,0.024670213246467385,68.15892008291394,0,0,46556,44706,39424,19411,14252
ENSG00000087074,PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,22486.064200678673,3.59138464605539,0.0629488089081083,57.052463872637176,0,0,34045,33807,30900,3657,3063
ENSG00000095752,IL11,3589,interleukin 11,8992.934947223244,3.8546861755836033,0.06790404667637104,56.76666361218411,0,0,14455,13022,12412,1397,900
ENSG00000099194,SCD,6319,stearoyl-CoA desaturase,30758.1430920525,-1.4838521366079749,0.02694633866038417,-55.066929697187284,0,0,17623,17273,14970,66858,48471
ENSG00000100129,EIF3L,51386,eukaryotic translation initiation factor 3 subunit L,13090.458821688653,-1.849619843995162,0.039895160956468195,-46.36200981902001,0,0,6352,6214,5310,31448,21956
ENSG00000100342,APOL1,8542,apolipoprotein L1,12889.793502437764,7.302446434156739,0.08910813366092256,81.950391441754,0,0,21469,20211,17941,174,138
ENSG00000101255,TRIB3,57761,tribbles pseudokinase 3,9215.730311828667,5.84257306234432,0.07764500311422905,75.24725131054342,0,0,15048,14597,12677,389,224
ENSG00000102054,RBBP7,5931,"RB binding protein 7, chromatin remodeling factor",5377.005110176795,-2.0100069683641286,0.049602319282438044,-40.52243922142129,0,0,2460,2286,2033,13167,9425
ENSG00000102144,PGK1,5230,phosphoglycerate kinase 1,59651.318635292795,-1.471829800229482,0.03488696361129115,-42.1885325598564,0,0,34345,34452,28522,129624,93485
ENSG00000102265,TIMP1,7076,TIMP metallopeptidase inhibitor 1,42465.93565412094,2.387264628445635,0.027250797612366786,87.60347724142436,0,0,63458,59237,52329,15996,11645
ENSG00000103257,SLC7A5,8140,solute carrier family 7 member 5,25083.61060246641,2.0824455384975,0.047186068901939875,44.13263463047009,0,0,37202,34515,29140,11036,8524
ENSG00000104312,RIPK2,8767,receptor interacting serine/threonine kinase 2,4293.425138954888,3.5516093622738967,0.07208303885713838,49.27108260950046,0,0,6882,6305,5683,734,590
ENSG00000105281,SLC1A5,6510,solute carrier family 1 member 5,11166.236736938017,1.9435762229644753,0.04400957004531459,44.16258147860263,0,0,15997,15352,12914,5564,3951
ENSG00000105835,NAMPT,10135,nicotinamide phosphoribosyltransferase,11944.622199108504,2.03942336148194,0.04890019136525885,41.705836000691995,0,0,16664,16649,14396,5356,4194
ENSG00000105939,ZC3HAV1,56829,"zinc finger CCCH-type containing, antiviral 1",4303.240148333706,5.599326166210297,0.11401873450314381,49.108825761049886,0,0,6672,7332,5723,193,143
ENSG00000106105,GARS1,2617,glycyl-tRNA synthetase 1,22036.5637916186,2.737457341701392,0.04570020513057184,59.900329416029884,0,0,32214,32011,28682,6442,5034
ENSG00000106366,SERPINE1,5054,serpin family E member 1,10986.562255074134,2.0942585324920557,0.05138689778827194,40.754718082437535,0,0,15340,15194,13544,4753,3744
ENSG00000106948,AKNA,80709,AT-hook transcription factor,6683.573794556927,3.685205877436466,0.08826388786665508,41.752136309743136,0,0,10470,10259,8787,979,891
ENSG00000107201,RIGI,23586,RNA sensor RIG-I,16233.846927899362,5.72946076763691,0.07388549277403357,77.54513846391345,0,0,26247,25699,22498,745,427
ENSG00000108679,LGALS3BP,3959,galectin 3 binding protein,25489.64057501751,1.4898366152111262,0.030171931990903043,49.37823059061375,0,0,33672,33090,28878,16154,11969
ENSG00000112715,VEGFA,7422,vascular endothelial growth factor A,8756.90990430775,1.7702528276473957,0.04200439434700449,42.14446738650905,0,0,12126,11463,10412,4828,3429
ENSG00000112984,KIF20A,10112,kinesin family member 20A,2196.7352237632435,-3.3182152050377565,0.08297922495369642,-39.98850563968713,0,0,487,443,404,6480,4548
ENSG00000113140,SPARC,6678,secreted protein acidic and cysteine rich,12059.661734859013,-2.0939454891013822,0.04586374529877205,-45.655789239642516,0,0,4976,5100,4469,30077,21402
ENSG00000113580,NR3C1,2908,nuclear receptor subfamily 3 group C member 1,10334.93158301936,1.6193536516182936,0.04263848561977361,37.97868587685764,0,0,13759,13823,11848,6114,4491
ENSG00000113739,STC2,8614,stanniocalcin 2,8897.583369985055,3.1414133710589276,0.05163752605288106,60.83586126573653,0,0,14202,12908,11360,2095,1507
ENSG00000114127,XRN1,54464,5'-3' exoribonuclease 1,14254.719265657552,-1.3111142075242657,0.03419618970096816,-38.34094438560052,0,0,8965,8614,7381,29561,21589
