"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj","Name","MOA","Phase"
"ASNS",2,"asparagine synthetase (glutamine-hydrolyzing)",1.961235207,0,4.94088688,0,"adenosine-triphosphate","adenosine receptor agonist","Phase 2"
"ASNS",2,"asparagine synthetase (glutamine-hydrolyzing)",1.961235207,0,4.94088688,0,"L-asparagine",NA,"Phase 3"
"ASNS",2,"asparagine synthetase (glutamine-hydrolyzing)",1.961235207,0,4.94088688,0,"L-aspartic-acid","metallic radical formation stimulant","Launched"
"ASNS",2,"asparagine synthetase (glutamine-hydrolyzing)",1.961235207,0,4.94088688,0,"L-glutamic-acid","glutamate receptor agonist","Launched"
"STAT1",7,"signal transducer and activator of transcription 1",3.651637449,0,2.508626762,0,"CKD-712","NFkB pathway inhibitor","Phase 1"
"SLC1A4",8,"solute carrier family 1 member 4",2.039938884,0,4.223729654,0,"L-alanine",NA,"Launched"
"C1R",25,"complement C1r",4.98699271,0,3.316851653,0,"nafamostat","serine protease inhibitor","Launched"
"LAP3",41,"leucine aminopeptidase 3",4.307952978,0,3.098048862,1.09e-267,"tosedostat","peptidase inhibitor","Phase 2"
"NFE2L2",43,"NFE2 like bZIP transcription factor 2",1.421784353,0,2.250334043,7.34e-250,"NK-252","nuclear factor erythroid derived, like (NRF2) activator","Preclinical"
"NFE2L2",43,"NFE2 like bZIP transcription factor 2",1.421784353,0,2.250334043,7.34e-250,"RTA-408","nitric oxide production inhibitor","Phase 2"
"NFE2L2",43,"NFE2 like bZIP transcription factor 2",1.421784353,0,2.250334043,7.34e-250,"sulforaphane","anticancer agent, aryl hydrocarbon receptor antagonist","Phase 2"
"PSAT1",45,"phosphoserine aminotransferase 1",1.655392549,0,2.800747437,3.06e-238,"L-glutamic-acid","glutamate receptor agonist","Launched"
"PSAT1",45,"phosphoserine aminotransferase 1",1.655392549,0,2.800747437,3.06e-238,"MC-1",NA,"Phase 3"
"ATF3",48,"activating transcription factor 3",3.034279667,6.33e-291,3.06063529,2.07e-239,"ephedrine-(racemic)","adrenergic receptor agonist","Launched"
"MCL1",52,"MCL1 apoptosis regulator, BCL2 family member",1.204720265,0,2.023265569,6.17e-197,"bithionol","autotaxin inhibitor","Withdrawn"
"MCL1",52,"MCL1 apoptosis regulator, BCL2 family member",1.204720265,0,2.023265569,6.17e-197,"morin","cytochrome P450 inhibitor","Preclinical"
"MCL1",52,"MCL1 apoptosis regulator, BCL2 family member",1.204720265,0,2.023265569,6.17e-197,"rosmarinic-acid","GABA transaminase inhibitor","Launched"
"MCL1",52,"MCL1 apoptosis regulator, BCL2 family member",1.204720265,0,2.023265569,6.17e-197,"TW-37","BCL inhibitor","Preclinical"
