"","gene_id","gene_symbol","gene_entrez","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"1","ENSG00000002549","LAP3",51056,"leucine aminopeptidase 3",4.30795297808542,0,3.09804886152617,1.09047406204212e-267
"2","ENSG00000006327","TNFRSF12A",51330,"TNF receptor superfamily member 12A",2.15401478831587,0,1.7475618490019,1.90418703901619e-139
"3","ENSG00000008517","IL32",9235,"interleukin 32",5.17828356152415,0,1.26399929698303,1.12297199757409e-50
"4","ENSG00000025708","TYMP",1890,"thymidine phosphorylase",4.08850373047646,0,0.935613352758411,0.00162622756961748
"5","ENSG00000035403","VCL",7414,"vinculin",-1.71548342390612,0,-0.674374358158789,6.55290208126577e-38
"6","ENSG00000058668","ATP2B4",493,"ATPase plasma membrane Ca2+ transporting 4",-2.77447126125362,0,-1.08962547076029,2.81511761164049e-12
"7","ENSG00000063046","EIF4B",1975,"eukaryotic translation initiation factor 4B",-2.1392348939231,0,-1.97156657163094,2.61803855755491e-73
"8","ENSG00000065911","MTHFD2",10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1.31633423838161,0,2.20990109606499,1.75725703463899e-166
"9","ENSG00000067066","SP100",6672,"SP100 nuclear antigen",3.14677361952731,0,3.45612618965615,0
"10","ENSG00000068323","TFE3",7030,"transcription factor binding to IGHM enhancer 3",1.15054912657688,0,1.30432130396845,1.89661035428389e-120
"11","ENSG00000070669","ASNS",440,"asparagine synthetase (glutamine-hydrolyzing)",1.96123520666854,0,4.94088688010996,0
"12","ENSG00000073008","PVR",5817,"PVR cell adhesion molecule",1.6687095247656,0,2.28100838663851,9.28636679456533e-108
"13","ENSG00000087074","PPP1R15A",23645,"protein phosphatase 1 regulatory subunit 15A",3.00753148692346,0,3.49548430085617,0
"14","ENSG00000094916","CBX5",23468,"chromobox 5",-1.63319673733231,0,-1.724034825966,1.41323034443724e-74
"15","ENSG00000099194","SCD",6319,"stearoyl-CoA desaturase",-1.47081608811959,0,-1.54047361643109,1.06034152076918e-78
"16","ENSG00000100129","EIF3L",51386,"eukaryotic translation initiation factor 3 subunit L",-1.54245266002496,0,-1.93232360694555,2.5716817707831e-101
"17","ENSG00000100342","APOL1",8542,"apolipoprotein L1",4.53887466842161,0,7.26114708557732,0
"18","ENSG00000100889","PCK2",5106,"phosphoenolpyruvate carboxykinase 2, mitochondrial",2.42169532157002,0,2.02381883246589,4.46641705022546e-106
"19","ENSG00000101255","TRIB3",57761,"tribbles pseudokinase 3",2.80152604863403,0,5.81306769975236,0
"20","ENSG00000101347","SAMHD1",25939,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1",3.74473872540308,0,3.40185631116307,6.02223144113413e-128
"21","ENSG00000104529","EEF1D",1936,"eukaryotic translation elongation factor 1 delta",-1.52143038230907,0,-0.971613818515867,3.95002572922135e-34
"22","ENSG00000105281","SLC1A5",6510,"solute carrier family 1 member 5",1.80831074213359,0,1.97752839919297,3.50764484059547e-105
"23","ENSG00000106105","GARS1",2617,"glycyl-tRNA synthetase 1",1.12010309904164,0,2.7406265185017,2.50576286611476e-280
"24","ENSG00000106948","AKNA",80709,"AT-hook transcription factor",2.95602461646859,0,3.70562368589522,0
"25","ENSG00000107201","RIGI",23586,"RNA sensor RIG-I",5.44567027044868,0,5.82346299961438,2.05828519750402e-158
"26","ENSG00000108468","CBX1",10951,"chromobox 1",-1.38313883208973,0,-1.92301011906209,1.69531652049909e-125
"27","ENSG00000108679","LGALS3BP",3959,"galectin 3 binding protein",1.62812024816564,0,1.57272630561697,8.70465925174228e-48
"28","ENSG00000108821","COL1A1",1277,"collagen type I alpha 1 chain",-2.91193697664395,0,-1.16341069699051,5.89689727629154e-06
"29","ENSG00000109084","TMEM97",27346,"transmembrane protein 97",-2.37781386163869,0,-2.03126791120448,3.18197050112554e-70
"30","ENSG00000111335","OAS2",4939,"2'-5'-oligoadenylate synthetase 2",9.70754582236035,0,9.34589230830573,6.77419379618249e-207
"31","ENSG00000112715","VEGFA",7422,"vascular endothelial growth factor A",1.75235383062456,0,1.88267394435636,2.28992984964271e-88
"32","ENSG00000112972","HMGCS1",3157,"3-hydroxy-3-methylglutaryl-CoA synthase 1",-2.72316154641107,0,-2.55369129401957,5.16076587363184e-86
"33","ENSG00000113140","SPARC",6678,"secreted protein acidic and cysteine rich",-2.80897497136723,0,-2.28251564936297,1.2877117690811e-66
"34","ENSG00000113161","HMGCR",3156,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.94074118918943,0,-1.26834352993657,2.34835205834092e-45
"35","ENSG00000113739","STC2",8614,"stanniocalcin 2",2.0116222420636,0,3.26432032377638,1.24044801773652e-289
"36","ENSG00000115415","STAT1",6772,"signal transducer and activator of transcription 1",3.65163744927247,0,2.5086267617702,0
"37","ENSG00000115902","SLC1A4",6509,"solute carrier family 1 member 4",2.03993888446829,0,4.22372965376125,0
"38","ENSG00000116044","NFE2L2",4780,"NFE2 like bZIP transcription factor 2",1.42178435317728,0,2.25033404254875,7.33848781000597e-250
"39","ENSG00000116133","DHCR24",1718,"24-dehydrocholesterol reductase",-2.3233770777097,0,-2.73027001680167,1.07078977926523e-104
