,gene_id,gene_symbol,gene_entrez,gene_desc,hos_log2FC,hos_padj,hos_rank,os17_log2FC,os17_padj,os17_rank,rank_sum,gene_rank
9,ENSG00000067066,SP100,6672,SP100 nuclear antigen,3.14677362,0,1,3.45612619,0,1,2,1
11,ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),1.961235207,0,1,4.94088688,0,1,2,2
13,ENSG00000087074,PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,3.007531487,0,1,3.495484301,0,1,2,3
17,ENSG00000100342,APOL1,8542,apolipoprotein L1,4.538874668,0,1,7.261147086,0,1,2,4
19,ENSG00000101255,TRIB3,57761,tribbles pseudokinase 3,2.801526049,0,1,5.8130677,0,1,2,5
24,ENSG00000106948,AKNA,80709,AT-hook transcription factor,2.956024616,0,1,3.705623686,0,1,2,6
36,ENSG00000115415,STAT1,6772,signal transducer and activator of transcription 1,3.651637449,0,1,2.508626762,0,1,2,7
37,ENSG00000115902,SLC1A4,6509,solute carrier family 1 member 4,2.039938884,0,1,4.223729654,0,1,2,8
42,ENSG00000117228,GBP1,2633,guanylate binding protein 1,5.796112676,0,1,7.408720399,0,1,2,9
46,ENSG00000125347,IRF1,3659,interferon regulatory factor 1,3.999415108,0,1,6.737115219,0,1,2,10
49,ENSG00000125826,RBCK1,10616,RANBP2-type and C3HC4-type zinc finger containing 1,1.561739913,0,1,2.878713836,0,1,2,11
52,ENSG00000130303,BST2,684,bone marrow stromal cell antigen 2,8.135061601,0,1,7.277635302,0,1,2,12
53,ENSG00000130487,KLHDC7B,113730,kelch domain containing 7B,7.051003766,0,1,11.17130035,0,1,2,13
56,ENSG00000130766,SESN2,83667,sestrin 2,2.228967357,0,1,4.416903464,0,1,2,14
60,ENSG00000132530,XAF1,54739,XIAP associated factor 1,6.356481173,0,1,6.209047054,0,1,2,15
65,ENSG00000135899,SP110,3431,SP110 nuclear body protein,4.241642619,0,1,4.481706995,0,1,2,16
67,ENSG00000137496,IL18BP,10068,interleukin 18 binding protein,5.421232409,0,1,8.014778417,0,1,2,17
70,ENSG00000138496,PARP9,83666,poly(ADP-ribose) polymerase family member 9,3.994473108,0,1,2.996340597,0,1,2,18
71,ENSG00000138685,FGF2,2247,fibroblast growth factor 2,2.203104931,0,1,5.112683449,0,1,2,19
72,ENSG00000139269,INHBE,83729,inhibin subunit beta E,5.42688775,0,1,4.130147253,0,1,2,20
73,ENSG00000140105,WARS1,7453,tryptophanyl-tRNA synthetase 1,3.608975832,0,1,7.240014796,0,1,2,21
77,ENSG00000149131,SERPING1,710,serpin family G member 1,5.4827801,0,1,4.898894886,0,1,2,22
81,ENSG00000153879,CEBPG,1054,CCAAT enhancer binding protein gamma,1.719525855,0,1,3.148596237,0,1,2,23
82,ENSG00000154451,GBP5,115362,guanylate binding protein 5,8.467312339,0,1,9.694439201,0,1,2,24
84,ENSG00000159403,C1R,715,complement C1r,4.98699271,0,1,3.316851653,0,1,2,25
92,ENSG00000163840,DTX3L,151636,deltex E3 ubiquitin ligase 3L,5.115887817,0,1,3.825379093,0,1,2,26
96,ENSG00000166750,SLFN5,162394,schlafen family member 5,2.298633763,0,1,2.978846327,0,1,2,27
101,ENSG00000173193,PARP14,54625,poly(ADP-ribose) polymerase family member 14,4.248882276,0,1,5.124996212,0,1,2,28
113,ENSG00000188313,PLSCR1,5359,phospholipid scramblase 1,4.389326239,0,1,3.829368043,0,1,2,29
119,ENSG00000213928,IRF9,10379,interferon regulatory factor 9,3.777996844,0,1,3.724702856,0,1,2,30
120,ENSG00000221963,APOL6,80830,apolipoprotein L6,4.173362026,0,1,2.910295217,0,1,2,31
100,ENSG00000172216,CEBPB,1051,CCAAT enhancer binding protein beta,2.846985451,0,1,3.228041984,4.65E-297,3,4,32
123,ENSG00000175197,DDIT3,1649,DNA damage inducible transcript 3,2.733136586,2.77E-297,4,4.762722738,0,1,5,33
89,ENSG00000162654,GBP4,115361,guanylate binding protein 4,3.856838618,0,1,9.549715282,1.28E-295,5,6,34
35,ENSG00000113739,STC2,8614,stanniocalcin 2,2.011622242,0,1,3.264320324,1.24E-289,6,7,35
91,ENSG00000163565,IFI16,3428,interferon gamma inducible protein 16,3.461729654,0,1,2.715182653,1.60E-289,7,8,36
43,ENSG00000119917,IFIT3,3437,interferon induced protein with tetratricopeptide repeats 3,6.069045246,0,1,5.329569607,2.01E-288,8,9,37
23,ENSG00000106105,GARS1,2617,glycyl-tRNA synthetase 1,1.120103099,0,1,2.740626519,2.51E-280,11,12,38
102,ENSG00000177409,SAMD9L,219285,sterile alpha motif domain containing 9 like,4.564781243,0,1,5.541885029,3.66E-272,12,13,39
54,ENSG00000130589,HELZ2,85441,helicase with zinc finger 2,4.420711733,0,1,4.356363063,1.06E-267,14,15,40
1,ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,4.307952978,0,1,3.098048862,1.09E-267,15,16,41
83,ENSG00000156587,UBE2L6,9246,ubiquitin conjugating enzyme E2 L6,4.498021712,0,1,3.185113981,4.53E-258,18,19,42
38,ENSG00000116044,NFE2L2,4780,NFE2 like bZIP transcription factor 2,1.421784353,0,1,2.250334043,7.34E-250,21,22,43
93,ENSG00000165732,DDX21,9188,DExD-box helicase 21,1.530643166,0,1,1.730173198,2.01E-246,23,24,44
63,ENSG00000135069,PSAT1,29968,phosphoserine aminotransferase 1,1.655392549,0,1,2.800747437,3.06E-238,31,32,45
152,ENSG00000134684,YARS1,8565,tyrosyl-tRNA synthetase 1,1.251563321,3.20E-265,33,2.867162818,0,1,34,46
74,ENSG00000142089,IFITM3,10410,interferon induced transmembrane protein 3,2.573337988,0,1,2.513171481,1.12E-219,33,34,47
125,ENSG00000162772,ATF3,467,activating transcription factor 3,3.034279667,6.33E-291,6,3.06063529,2.07E-239,30,36,48
134,ENSG00000006652,IFRD1,3475,interferon related developmental regulator 1,1.560961865,3.08E-285,15,3.036347919,1.84E-240,28,43,49
59,ENSG00000132274,TRIM22,10346,tripartite motif containing 22,6.816361427,0,1,6.737443114,1.84E-208,42,43,50
30,ENSG00000111335,OAS2,4939,2'-5'-oligoadenylate synthetase 2,9.707545822,0,1,9.345892308,6.77E-207,43,44,51
75,ENSG00000143384,MCL1,4170,"MCL1 apoptosis regulator, BCL2 family member",1.204720265,0,1,2.023265569,6.17E-197,49,50,52
137,ENSG00000172183,ISG20,3669,interferon stimulated exonuclease gene 20,6.529708383,2.91E-282,18,3.84291282,2.67E-217,34,52,53
