"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"TRIB3",5,"tribbles pseudokinase 3",2.801526049,0,5.8130677,0
"SLC1A4",8,"solute carrier family 1 member 4",2.039938884,0,4.223729654,0
"GBP1",9,"guanylate binding protein 1",5.796112676,0,7.408720399,0
"BST2",12,"bone marrow stromal cell antigen 2",8.135061601,0,7.277635302,0
"PARP14",28,"poly(ADP-ribose) polymerase family member 14",4.248882276,0,5.124996212,0
"PLSCR1",29,"phospholipid scramblase 1",4.389326239,0,3.829368043,0
"GBP4",34,"guanylate binding protein 4",3.856838618,0,9.549715282,1.28e-295
"NFE2L2",43,"NFE2 like bZIP transcription factor 2",1.421784353,0,2.250334043,7.34e-250
"IFITM3",47,"interferon induced transmembrane protein 3",2.573337988,0,2.513171481,1.12e-219
"IFI6",54,"interferon alpha inducible protein 6",5.466815229,0,5.200442745,2.88e-190
"B2M",55,"beta-2-microglobulin",2.313198796,0,2.515241971,5.09e-190
"SLC7A11",57,"solute carrier family 7 member 11",1.97916397,0,4.993416288,1.67e-187
"RND3",58,"Rho family GTPase 3",2.433154081,4.7e-237,6.091007555,0
"RIGI",70,"RNA sensor RIG-I",5.44567027,0,5.823463,2.06e-158
"CLDN1",72,"claudin 1",3.43272041,2.24e-220,8.487123091,8.19e-301
"TNFRSF12A",77,"TNF receptor superfamily member 12A",2.154014788,0,1.747561849,1.9e-139
"MFSD12",82,"major facilitator superfamily domain containing 12",1.565385633,0,1.752216851,4.91e-130
"NT5E",83,"5'-nucleotidase ecto",2.656578338,2.18e-258,3.377279363,3.07e-154
"SAMHD1",84,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1",3.744738725,0,3.401856311,6.02e-128
"MYH10",86,"myosin heavy chain 10",-1.329861234,4.19e-190,-2.062302119,8.51e-282
"FOSL1",88,"FOS like 1, AP-1 transcription factor subunit",2.646861165,6.59e-216,2.062893233,2.52e-189
"IL6ST",91,"interleukin 6 cytokine family signal transducer",1.464249794,0,1.839287677,4.86e-118
"PVR",95,"PVR cell adhesion molecule",1.668709525,0,2.281008387,9.29e-108
"HMGB1",97,"high mobility group box 1",-1.136802474,3.99e-180,-2.12145222,8.91e-213
"SLC1A5",98,"solute carrier family 1 member 5",1.808310742,0,1.977528399,3.51e-105
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156
"SLC39A14",104,"solute carrier family 39 member 14",1.150366783,3.48e-212,1.357072053,7.15e-140
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243
"DAG1",108,"dystroglycan 1",-1.251372756,5.06e-254,-1.823822217,1.18e-113
"OSMR",109,"oncostatin M receptor",2.41662969,0,2.09728566,8.82e-98
"SLC7A5",110,"solute carrier family 7 member 5",0.718558473,2.22e-198,2.136034931,4.37e-147
"CD274",115,"CD274 molecule",2.690807412,1.12e-147,6.95118916,0
"IFIT5",124,"interferon induced protein with tetratricopeptide repeats 5",2.535812136,0,2.259324893,1.87e-85
"FSCN1",126,"fascin actin-bundling protein 1",-2.301873549,1.74e-269,-2.148641941,5.34e-93
